recording_id,sensor,schema_ok,n_samples,start_s,end_s,duration_s,sampling_rate_hz,min_interval_s,max_interval_s,largest_gap_over_median,missing_values,infinite_values,duplicate_rows,duplicate_timestamps,non_positive_intervals,non_positive_epoch_intervals,clock_interval_difference_max_s,integer_timestamp,participant_id,class
R028,Gravity,True,3750,0.050763671875,37.56536840820313,37.514604736328124,99.93900207392807,0.010005615234369714,0.010632080078124773,1.062559472977881,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
R029,Accelerometer,True,4790,0.038450927734375,47.96145263671875,47.92300170898437,99.9341254544277,0.010005126953124943,0.01125708007813131,1.124966452778513,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
R029,Gyroscope,True,4790,0.038450927734375,47.96145263671875,47.92300170898437,99.9341254544277,0.010005126953124943,0.01125708007813131,1.124966452778513,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
R029,Gravity,True,4790,0.038450927734375,47.96145263671875,47.92300170898437,99.9341254544277,0.010005126953124943,0.01125708007813131,1.124966452778513,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
R030,Accelerometer,True,4215,0.047832763671875,42.22344677734375,42.175614013671876,99.93900207392807,0.010004882812495453,0.013759033203124993,1.3750640478223537,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
R030,Gyroscope,True,4215,0.047832763671875,42.22344677734375,42.175614013671876,99.93900207392807,0.010004882812495453,0.013759033203124993,1.3750640478223537,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
R030,Gravity,True,4215,0.047832763671875,42.22344677734375,42.175614013671876,99.93900207392807,0.010004882812495453,0.013759033203124993,1.3750640478223537,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
R031,Accelerometer,True,3761,0.045381103515625,37.66963110351563,37.62425,99.93900207392807,0.010004882812502558,0.010630859374998636,1.0624374771256262,0,0,0,0,0,0,4.0820312475868537e-07,True,P01,smooth
R031,Gyroscope,True,3761,0.045381103515625,37.66963110351563,37.62425,99.93900207392807,0.010004882812502558,0.010630859374998636,1.0624374771256262,0,0,0,0,0,0,4.0820312475868537e-07,True,P01,smooth
R031,Gravity,True,3761,0.045381103515625,37.66963110351563,37.62425,99.93900207392807,0.010004882812502558,0.010630859374998636,1.0624374771256262,0,0,0,0,0,0,4.0820312475868537e-07,True,P01,smooth
R032,Accelerometer,True,4512,0.083189208984375,45.37438061523437,45.29119140625,99.60120610835571,0.010038574218746987,0.01004199218749946,1.0001945336056315,0,0,0,0,0,0,3.3906250261443727e-07,True,P02,bumpy
R032,Gyroscope,True,4512,0.083189208984375,45.37438061523437,45.29119140625,99.60120610835571,0.010038574218746987,0.01004199218749946,1.0001945336056315,0,0,0,0,0,0,3.3906250261443727e-07,True,P02,bumpy
R032,Gravity,True,4512,0.083189208984375,45.37438061523437,45.29119140625,99.60120610835571,0.010038574218746987,0.01004199218749946,1.0001945336056315,0,0,0,0,0,0,3.3906250261443727e-07,True,P02,bumpy
R033,Accelerometer,True,4677,0.062628173828125,47.007744873046875,46.94511669921875,99.60362813997132,0.010037841796872726,0.010040771484376876,1.000097269168302,0,0,0,0,0,0,4.257812494593005e-07,True,P02,bumpy
R033,Gyroscope,True,4677,0.062628173828125,47.007744873046875,46.94511669921875,99.60362813997132,0.010037841796872726,0.010040771484376876,1.000097269168302,0,0,0,0,0,0,4.257812494593005e-07,True,P02,bumpy
R033,Gravity,True,4677,0.062628173828125,47.007744873046875,46.94511669921875,99.60362813997132,0.010037841796872726,0.010040771484376876,1.000097269168302,0,0,0,0,0,0,4.257812494593005e-07,True,P02,bumpy
R034,Accelerometer,True,5278,0.063303466796875,53.041852783203126,52.97854931640625,99.60362813998894,0.010037109374998465,0.010041259765621646,1.000145903752011,0,0,0,0,0,0,4.257812530120142e-07,True,P02,bumpy
R034,Gyroscope,True,5278,0.063303466796875,53.041852783203126,52.97854931640625,99.60362813998894,0.010037109374998465,0.010041259765621646,1.000145903752011,0,0,0,0,0,0,4.257812530120142e-07,True,P02,bumpy
R034,Gravity,True,5278,0.063303466796875,53.041852783203126,52.97854931640625,99.60362813998894,0.010037109374998465,0.010041259765621646,1.000145903752011,0,0,0,0,0,0,4.257812530120142e-07,True,P02,bumpy
R035,Accelerometer,True,5350,0.06107421875,53.76309252929688,53.702018310546876,99.6036281399537,0.010038574218746987,0.010041503906251137,1.0001702210441308,0,0,0,0,0,0,4.257812530120142e-07,True,P02,bumpy
R035,Gyroscope,True,5350,0.06107421875,53.76309252929688,53.702018310546876,99.6036281399537,0.010038574218746987,0.010041503906251137,1.0001702210441308,0,0,0,0,0,0,4.257812530120142e-07,True,P02,bumpy
R035,Gravity,True,5350,0.06107421875,53.76309252929688,53.702018310546876,99.6036281399537,0.010038574218746987,0.010041503906251137,1.0001702210441308,0,0,0,0,0,0,4.257812530120142e-07,True,P02,bumpy
R036,Accelerometer,True,5432,0.062140869140625,54.5873603515625,54.525219482421875,99.6036281399537,0.010037841796872726,0.010041015624999261,1.0001215864598911,0,0,0,0,0,0,4.257812530120142e-07,True,P02,bumpy
